# cat_frame_manifest.csv — generated from Python script manifest
REST_1_0,0,0
REST_1_1,0,1
REST_1_2,0,2
REST_1_3,0,3
REST_1_4,0,4
REST_1_5,0,5
REST_2_0,1,0
REST_2_1,1,1
REST_2_2,1,2
REST_2_3,1,3
REST_2_4,1,4
REST_2_5,1,5
REST_2_6,1,6
REST_2_7,1,7
REST_3_0,2,0
REST_3_1,2,1
REST_3_2,2,2
REST_3_3,2,3
REST_3_4,2,4
REST_3_5,2,5
REST_4_0,3,0
REST_4_1,3,1
REST_4_2,3,2
REST_4_3,3,3
REST_4_4,3,4
REST_4_5,3,5
REST_4_6,3,6
REST_4_7,3,7
REST_4_8,3,8
REST_4_9,3,9
WALK_DOWN_0,4,0
WALK_DOWN_1,4,1
WALK_DOWN_2,4,2
WALK_DOWN_3,4,3
WALK_UP_0,5,0
WALK_UP_1,5,1
WALK_UP_2,5,2
WALK_UP_3,5,3
WALK_RIGHT_0,6,0
WALK_RIGHT_1,6,1
WALK_RIGHT_2,6,2
WALK_RIGHT_3,6,3
WALK_RIGHT_4,6,4
WALK_RIGHT_5,6,5
WALK_RIGHT_6,6,6
WALK_RIGHT_7,6,7
WALK_LEFT_0,7,0
WALK_LEFT_1,7,1
WALK_LEFT_2,7,2
WALK_LEFT_3,7,3
WALK_LEFT_4,7,4
WALK_LEFT_5,7,5
WALK_LEFT_6,7,6
WALK_LEFT_7,7,7
WALK_DOWN_LEFT_0,8,0
WALK_DOWN_LEFT_1,8,1
WALK_DOWN_LEFT_2,8,2
WALK_DOWN_LEFT_3,8,3
WALK_DOWN_LEFT_4,8,4
WALK_DOWN_LEFT_5,8,5
WALK_DOWN_RIGHT_0,9,0
WALK_DOWN_RIGHT_1,9,1
WALK_DOWN_RIGHT_2,9,2
WALK_DOWN_RIGHT_3,9,3
WALK_DOWN_RIGHT_4,9,4
WALK_DOWN_RIGHT_5,9,5
WALK_UP_RIGHT_0,10,0
WALK_UP_RIGHT_1,10,1
WALK_UP_RIGHT_2,10,2
WALK_UP_RIGHT_3,10,3
WALK_UP_RIGHT_4,10,4
WALK_UP_RIGHT_5,10,5
WALK_UP_LEFT_0,11,0
WALK_UP_LEFT_1,11,1
WALK_UP_LEFT_2,11,2
WALK_UP_LEFT_3,11,3
WALK_UP_LEFT_4,11,4
WALK_UP_LEFT_5,11,5
SLEEP_1_L_0,12,0
SLEEP_1_L_1,12,1
SLEEP_1_R_0,13,0
SLEEP_1_R_1,13,1
SLEEP_2_L_0,14,0
SLEEP_2_L_1,14,1
SLEEP_2_R_0,15,0
SLEEP_2_R_1,15,1
SLEEP_3_L_0,16,0
SLEEP_3_L_1,16,1
SLEEP_3_R_0,17,0
SLEEP_3_R_1,17,1
SLEEP_4_L_0,18,0
SLEEP_4_L_1,18,1
SLEEP_4_R_0,19,0
SLEEP_4_R_1,19,1
EAT_DOWN_0,20,0
EAT_DOWN_1,20,1
EAT_DOWN_2,20,2
EAT_DOWN_3,20,3
EAT_DOWN_4,20,4
EAT_DOWN_5,20,5
EAT_DOWN_6,20,6
EAT_DOWN_7,20,7
EAT_UP_0,21,0
EAT_UP_1,21,1
EAT_UP_2,21,2
EAT_UP_3,21,3
EAT_UP_4,21,4
EAT_UP_5,21,5
EAT_UP_6,21,6
EAT_UP_7,21,7
EAT_LEFT_0,22,0
EAT_LEFT_1,22,1
EAT_LEFT_2,22,2
EAT_LEFT_3,22,3
EAT_LEFT_4,22,4
EAT_LEFT_5,22,5
EAT_LEFT_6,22,6
EAT_LEFT_7,22,7
EAT_RIGHT_0,23,0
EAT_RIGHT_1,23,1
EAT_RIGHT_2,23,2
EAT_RIGHT_3,23,3
EAT_RIGHT_4,23,4
EAT_RIGHT_5,23,5
EAT_RIGHT_6,23,6
EAT_RIGHT_7,23,7
EAT_DOWN_RIGHT_0,24,0
EAT_DOWN_RIGHT_1,24,1
EAT_DOWN_RIGHT_2,24,2
EAT_DOWN_RIGHT_3,24,3
EAT_DOWN_RIGHT_4,24,4
EAT_DOWN_RIGHT_5,24,5
EAT_DOWN_RIGHT_6,24,6
EAT_DOWN_RIGHT_7,24,7
EAT_DOWN_LEFT_0,25,0
EAT_DOWN_LEFT_1,25,1
EAT_DOWN_LEFT_2,25,2
EAT_DOWN_LEFT_3,25,3
EAT_DOWN_LEFT_4,25,4
EAT_DOWN_LEFT_5,25,5
EAT_DOWN_LEFT_6,25,6
EAT_DOWN_LEFT_7,25,7
EAT_UP_RIGHT_0,26,0
EAT_UP_RIGHT_1,26,1
EAT_UP_RIGHT_2,26,2
EAT_UP_RIGHT_3,26,3
EAT_UP_RIGHT_4,26,4
EAT_UP_RIGHT_5,26,5
EAT_UP_RIGHT_6,26,6
EAT_UP_RIGHT_7,26,7
EAT_UP_LEFT_0,27,0
EAT_UP_LEFT_1,27,1
EAT_UP_LEFT_2,27,2
EAT_UP_LEFT_3,27,3
EAT_UP_LEFT_4,27,4
EAT_UP_LEFT_5,27,5
EAT_UP_LEFT_6,27,6
EAT_UP_LEFT_7,27,7
MEOW_SIT_0,28,0
MEOW_SIT_1,28,1
MEOW_SIT_2,28,2
MEOW_STAND_0,29,0
MEOW_STAND_1,29,1
MEOW_STAND_2,29,2
MEOW_SIT_2_0,30,0
MEOW_SIT_2_1,30,1
MEOW_SIT_2_2,30,2
MEOW_LIE_0,31,0
MEOW_LIE_1,31,1
MEOW_LIE_2,31,2
YAWN_SIT_0,32,0
YAWN_SIT_1,32,1
YAWN_SIT_2,32,2
YAWN_SIT_3,32,3
YAWN_SIT_4,32,4
YAWN_SIT_5,32,5
YAWN_SIT_6,32,6
YAWN_SIT_7,32,7
YAWN_STAND_0,33,0
YAWN_STAND_1,33,1
YAWN_STAND_2,33,2
YAWN_STAND_3,33,3
YAWN_STAND_4,33,4
YAWN_STAND_5,33,5
YAWN_STAND_6,33,6
YAWN_STAND_7,33,7
YAWN_SIT_2_0,34,0
YAWN_SIT_2_1,34,1
YAWN_SIT_2_2,34,2
YAWN_SIT_2_3,34,3
YAWN_SIT_2_4,34,4
YAWN_SIT_2_5,34,5
YAWN_SIT_2_6,34,6
YAWN_SIT_2_7,34,7
YAWN_LIE_0,35,0
YAWN_LIE_1,35,1
YAWN_LIE_2,35,2
YAWN_LIE_3,35,3
YAWN_LIE_4,35,4
YAWN_LIE_5,35,5
YAWN_LIE_6,35,6
YAWN_LIE_7,35,7
WASH_SIT_0,36,0
WASH_SIT_1,36,1
WASH_SIT_2,36,2
WASH_SIT_3,36,3
WASH_SIT_4,36,4
WASH_SIT_5,36,5
WASH_SIT_6,36,6
WASH_SIT_7,36,7
WASH_SIT_8,36,8
WASH_STAND_0,37,0
WASH_STAND_1,37,1
WASH_STAND_2,37,2
WASH_STAND_3,37,3
WASH_STAND_4,37,4
WASH_STAND_5,37,5
WASH_STAND_6,37,6
WASH_STAND_7,37,7
WASH_STAND_8,37,8
WASH_LIE_0,38,0
WASH_LIE_1,38,1
WASH_LIE_2,38,2
WASH_LIE_3,38,3
WASH_LIE_4,38,4
WASH_LIE_5,38,5
WASH_LIE_6,38,6
SCRATCH_L_0,39,0
SCRATCH_L_1,39,1
SCRATCH_L_2,39,2
SCRATCH_L_3,39,3
SCRATCH_L_4,39,4
SCRATCH_L_5,39,5
SCRATCH_L_6,39,6
SCRATCH_L_7,39,7
SCRATCH_L_8,39,8
SCRATCH_L_9,39,9
SCRATCH_L_10,39,10
SCRATCH_R_0,40,0
SCRATCH_R_1,40,1
SCRATCH_R_2,40,2
SCRATCH_R_3,40,3
SCRATCH_R_4,40,4
SCRATCH_R_5,40,5
SCRATCH_R_6,40,6
SCRATCH_R_7,40,7
SCRATCH_R_8,40,8
SCRATCH_R_9,40,9
SCRATCH_R_10,40,10
HISS_L_0,41,0
HISS_L_1,41,1
HISS_R_0,42,0
HISS_R_1,42,1
ATTACK_READY_0,43,0
PAW_DOWN_0,44,0
PAW_DOWN_1,44,1
PAW_DOWN_2,44,2
PAW_DOWN_3,44,3
PAW_DOWN_4,44,4
PAW_DOWN_5,44,5
PAW_DOWN_6,44,6
PAW_DOWN_7,44,7
PAW_DOWN_8,44,8
PAW_UP_0,45,0
PAW_UP_1,45,1
PAW_UP_2,45,2
PAW_UP_3,45,3
PAW_UP_4,45,4
PAW_LEFT_0,46,0
PAW_LEFT_1,46,1
PAW_LEFT_2,46,2
PAW_LEFT_3,46,3
PAW_LEFT_4,46,4
PAW_LEFT_5,46,5
PAW_LEFT_6,46,6
PAW_RIGHT_0,47,0
PAW_RIGHT_1,47,1
PAW_RIGHT_2,47,2
PAW_RIGHT_3,47,3
PAW_RIGHT_4,47,4
PAW_RIGHT_5,47,5
PAW_RIGHT_6,47,6
PAW_DOWN_RIGHT_0,48,0
PAW_DOWN_RIGHT_1,48,1
